unique_id,bildirimsiz_sum
2024-02-01-izmir-aliaga,5.496048642134007
2024-02-01-izmir-bayindir,4.841841541402652
2024-02-01-izmir-bayrakli,4.841841541402652
2024-02-01-izmir-bergama,5.902699728128788
2024-02-01-izmir-bornova,7.2919426391305
2024-02-01-izmir-buca,6.297975751391482
2024-02-01-izmir-cesme,8.992157722397003
2024-02-01-izmir-cigli,4.783827162051966
2024-02-01-izmir-dikili,5.19347649141151
2024-02-01-izmir-foca,5.218127360464287
2024-02-01-izmir-gaziemir,3.855794953811668
2024-02-01-izmir-guzelbahce,3.795263121683812
2024-02-01-izmir-karabaglar,5.0235464427881995
2024-02-01-izmir-karaburun,5.227615633262724
2024-02-01-izmir-karsiyaka,5.1448119897236975
2024-02-01-izmir-kemalpasa,5.523788933555477
2024-02-01-izmir-kinik,3.8134810040550042
2024-02-01-izmir-kiraz,4.821391593374024
2024-02-01-izmir-konak,7.8321593420901126
2024-02-01-izmir-menderes,7.020108047337604
2024-02-01-izmir-menemen,6.4010075134004625
2024-02-01-izmir-odemis,6.5183801338461675
2024-02-01-izmir-seferihisar,5.026112749509535
2024-02-01-izmir-tire,5.70760049509333
2024-02-01-izmir-torbali,6.006679823226074
2024-02-01-izmir-urla,6.529889155505536
2024-02-01-manisa-akhisar,6.118593031096272
2024-02-01-manisa-alasehir,6.0588640618322
2024-02-01-manisa-demirci,3.3971641655697997
2024-02-01-manisa-golmarmara,3.276948898474529
2024-02-01-manisa-gordes,4.160070562499065
2024-02-01-manisa-kirkagac,3.5013104287317613
2024-02-01-manisa-koprubasi,3.6057680693040175
2024-02-01-manisa-salihli,7.4902174157162795
2024-02-01-manisa-sarigol,4.18690790647705
2024-02-01-manisa-saruhanli,4.926895419952643
2024-02-01-manisa-sehzadeler,6.13730466925646
2024-02-01-manisa-selendi,4.375149065639984
2024-02-01-manisa-soma,4.552246898307299
2024-02-01-manisa-turgutlu,5.466027148415541
2024-02-01-manisa-yunusemre,8.269429608729633
2024-02-01-izmir-balcova,4.605090510159519
2024-02-01-izmir-beydag,3.6321592379190912
2024-02-01-izmir-narlidere,4.108562099427506
2024-02-01-izmir-selcuk,4.07441578889324
2024-02-01-manisa-kula,4.2531301973173345
2024-02-01-manisa-ahmetli,5.097933435287521
2024-02-02-izmir-aliaga,5.14753771172847
2024-02-02-izmir-bayindir,4.841841541402652
2024-02-02-izmir-bayrakli,4.841841541402652
2024-02-02-izmir-bergama,6.05191998831565
2024-02-02-izmir-bornova,7.230231892092803
2024-02-02-izmir-buca,6.256162820056112
2024-02-02-izmir-cesme,7.9590777508695325
2024-02-02-izmir-cigli,4.771204498444422
2024-02-02-izmir-dikili,5.297763860470962
2024-02-02-izmir-foca,4.908430917321483
2024-02-02-izmir-gaziemir,3.819938068975524
2024-02-02-izmir-guzelbahce,3.859287261232701
2024-02-02-izmir-karabaglar,5.0235464427881995
2024-02-02-izmir-karaburun,5.486130759156245
2024-02-02-izmir-karsiyaka,5.1448119897236975
2024-02-02-izmir-kemalpasa,5.523788933555477
2024-02-02-izmir-kinik,3.842442259313611
2024-02-02-izmir-kiraz,4.821391593374024
2024-02-02-izmir-konak,7.199867047638683
2024-02-02-izmir-menderes,6.54987544503865
2024-02-02-izmir-menemen,6.317807842588828
2024-02-02-izmir-odemis,6.680527302112799
2024-02-02-izmir-seferihisar,4.96711265696735
2024-02-02-izmir-tire,5.6486015310452045
2024-02-02-izmir-torbali,5.996566784612588
2024-02-02-izmir-urla,6.153341047635413
2024-02-02-manisa-akhisar,6.137760527443866
2024-02-02-manisa-alasehir,6.113653384324629
2024-02-02-manisa-demirci,3.517727884211833
2024-02-02-manisa-golmarmara,3.3063008802593954
2024-02-02-manisa-gordes,4.148695529943096
2024-02-02-manisa-kirkagac,3.771768844592479
2024-02-02-manisa-koprubasi,3.6057680693040175
2024-02-02-manisa-salihli,7.456485163319066
2024-02-02-manisa-sarigol,4.18690790647705
2024-02-02-manisa-saruhanli,4.947392711145153
2024-02-02-manisa-sehzadeler,6.048629347411794
2024-02-02-manisa-selendi,4.285539043143689
2024-02-02-manisa-soma,4.5587608022524595
2024-02-02-manisa-turgutlu,5.466027148415541
2024-02-02-manisa-yunusemre,9.373178087519346
2024-02-02-izmir-balcova,4.4699668335826885
2024-02-02-izmir-beydag,3.608703427860443
2024-02-02-izmir-narlidere,3.927965261227238
2024-02-02-izmir-selcuk,4.07441578889324
2024-02-02-manisa-kula,3.9711063336957664
2024-02-02-manisa-ahmetli,5.097933435287521
2024-02-03-izmir-aliaga,5.082303897072143
2024-02-03-izmir-bayindir,4.788368277851456
2024-02-03-izmir-bayrakli,4.80966034301033
2024-02-03-izmir-bergama,5.99070406287988
2024-02-03-izmir-bornova,7.069766277584477
2024-02-03-izmir-buca,6.269443343312592
2024-02-03-izmir-cesme,8.054446393535097
2024-02-03-izmir-cigli,4.780788998789802
2024-02-03-izmir-dikili,5.19347649141151
2024-02-03-izmir-foca,4.953928458324372
2024-02-03-izmir-gaziemir,3.819938068975524
2024-02-03-izmir-guzelbahce,3.891016883143943
2024-02-03-izmir-karabaglar,5.060367717018549
2024-02-03-izmir-karaburun,5.374358257725878
2024-02-03-izmir-karsiyaka,5.122495237781049
2024-02-03-izmir-kemalpasa,5.57154596823328
2024-02-03-izmir-kinik,3.804472303914548
2024-02-03-izmir-kiraz,4.872782488042113
2024-02-03-izmir-konak,7.050316640463751
2024-02-03-izmir-menderes,6.736197662961448
2024-02-03-izmir-menemen,6.366791898411674
2024-02-03-izmir-odemis,6.493767636480138
2024-02-03-izmir-seferihisar,4.96711265696735
2024-02-03-izmir-tire,5.588894545379866
2024-02-03-izmir-torbali,5.966383376358559
2024-02-03-izmir-urla,6.5348698921262605
2024-02-03-manisa-akhisar,6.004029617350438
2024-02-03-manisa-alasehir,6.024307437789224
2024-02-03-manisa-demirci,3.527840922825319
2024-02-03-manisa-golmarmara,2.8256670157527517
2024-02-03-manisa-gordes,4.158372221421714
2024-02-03-manisa-kirkagac,3.7616596857977824
2024-02-03-manisa-koprubasi,3.6475143789965143
2024-02-03-manisa-salihli,7.463372319060224
2024-02-03-manisa-sarigol,4.18690790647705
2024-02-03-manisa-saruhanli,4.892168783949032
2024-02-03-manisa-sehzadeler,6.164411903569679
2024-02-03-manisa-selendi,4.246774313778261
2024-02-03-manisa-soma,4.5170882156942405
2024-02-03-manisa-turgutlu,5.5229450176312564
2024-02-03-manisa-yunusemre,7.718849745982429
2024-02-03-izmir-balcova,3.8917611846520286
2024-02-03-izmir-beydag,3.57652222946812
2024-02-03-izmir-narlidere,3.9287141643601484
2024-02-03-izmir-selcuk,4.011404922973836
2024-02-03-manisa-kula,4.0304210503531435
2024-02-03-manisa-ahmetli,4.953567352838913
